,InvoiceDate,daily_profit
0,2011-01-02,29013.29
1,2011-01-03,26344.68
2,2011-01-04,25565.64
3,2011-01-05,6958.11
4,2011-01-06,20585.19
5,2011-01-07,13632.21
6,2011-01-08,21358.64
7,2011-01-09,37358.62
8,2011-01-11,29091.9
9,2011-01-12,52068.63
10,2011-01-13,20612.79
11,2011-01-14,47554.58
12,2011-01-16,6976.39
13,2011-01-17,29262.72
14,2011-01-18,95947.73
15,2011-01-19,25874.57
16,2011-01-20,21199.34
17,2011-01-21,32636.55
18,2011-01-23,10306.1
19,2011-01-24,25494.49
20,2011-01-25,28952.55
21,2011-01-26,19855.92
22,2011-01-27,23624.3
23,2011-01-28,20064.35
24,2011-01-30,6542.61
25,2011-01-31,23628.71
26,2011-02-02,21162.12
27,2011-02-03,18669.94
28,2011-02-06,32800.49
29,2011-02-08,26575.55
30,2011-02-09,42226.28
31,2011-02-10,11531.56
32,2011-02-11,45690.08
33,2011-02-12,57476.48
34,2011-02-13,5645.48
35,2011-02-14,26668.91
36,2011-02-15,39841.71
37,2011-02-16,24863.85
38,2011-02-17,26357.52
39,2011-02-18,16184.42
40,2011-02-20,9437.8
41,2011-02-21,36311.4
42,2011-02-22,32454.5
43,2011-02-23,26859.5
44,2011-02-24,22800.89
45,2011-02-25,20595.19
46,2011-02-27,9382.71
47,2011-02-28,21675.29
48,2011-03-02,23467.73
49,2011-03-03,36367.14
50,2011-03-04,6897.18
51,2011-03-05,35196.21
52,2011-03-06,16895.1
53,2011-03-07,5972.73
54,2011-03-08,28068.2
55,2011-03-10,66243.94
56,2011-03-11,63425.47
57,2011-03-13,4117.22
58,2011-03-14,25876.63
59,2011-03-15,23453.34
60,2011-03-16,21842.81
61,2011-03-17,39852.51
62,2011-03-18,28107.65
63,2011-03-20,21949.68
64,2011-03-21,16679.47
65,2011-03-22,31468.23
66,2011-03-23,24078.89
67,2011-03-24,36496.79
68,2011-03-25,31362.56
69,2011-03-27,9206.72
70,2011-03-28,23133.23
71,2011-03-29,70711.92
72,2011-03-30,31821.71
73,2011-03-31,34268.4
74,2011-04-01,16005.73
75,2011-04-02,25135.84
76,2011-04-03,19486.88
77,2011-04-04,33234.48
78,2011-04-05,27521.96
79,2011-04-07,44609.03
80,2011-04-08,65496.79
81,2011-04-09,17040.74
82,2011-04-10,48652.54
83,2011-04-11,62594.59
84,2011-04-12,24477.47
85,2011-04-13,24450.27
86,2011-04-14,36084.1
87,2011-04-15,28311.82
88,2011-04-17,12630.34
89,2011-04-18,55983.99
90,2011-04-19,24296.85
91,2011-04-20,28667.32
92,2011-04-21,32582.2
93,2011-04-26,30999.88
94,2011-04-27,25916.15
95,2011-04-28,22490.44
96,2011-05-01,32630.27
97,2011-05-04,30052.82
98,2011-05-05,29133.41
99,2011-05-06,25423.76
100,2011-05-07,40754.68
101,2011-05-08,21417.13
102,2011-05-09,36898.35
103,2011-05-10,75460.77
104,2011-05-12,88620.84
105,2011-05-13,30679.84
106,2011-05-15,9911.38
107,2011-05-16,39651.28
108,2011-05-17,55106.99
109,2011-05-18,34376.26
110,2011-05-19,35567.71
111,2011-05-20,26579.95
112,2011-05-22,24102.0
113,2011-05-23,34610.64
114,2011-05-24,37658.39
115,2011-05-25,24393.9
116,2011-05-26,33497.03
117,2011-05-27,28387.93
